id,title,summary,categoryList,bboxKML,bboxWKT,metadataURL
"b5bd9c07-c067-4883-9dbe-d8920afb70b9","Toporama - 095D11","Toporama is a digital topographic reference product developed by Natural Resources Canada (NRCan). It covers the entire area of Canada's landmass and provides topographic, geo-referenced, and symbolic information in a raster format. The delimitation, content and representation of this product are similar to those of 1:50,000 scale topographical maps. Toporama is published as an edition (or  release ) approximately every six months. It is available free of charge through the GeoGratis portal (www.GeoGratis.gc.ca) in GeoTIFF format, which is a geo-referenced raster format. Toporama is available in the following spatial reference systems: Universal Transverse Mercator (UTM) and geographic (latitude and longitude). Toporama is a product aimed at the general public that can be used by GPS system users who need a geo-referenced raster map product.","government-of-canada-natural-resources-canada-earth-sciences-sector-mapping-information-branch-centre-for-topographic-information---sherbrooke, 095d11, localisations--continent--amerique-du-nord--canada--yukon, locations--continent--north-america--canada--yukon-territory, toporama, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.5,43.75 -100,43.75 -100,77.75 -99.5,77.75 -99.5,43.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-99.5 43.75,-100 43.75,-100 77.75,-99.5 77.75,-99.5 43.75))","http://geogratis.gc.ca/api/en/nrcan-rncan/ess-sst/b5bd9c07-c067-4883-9dbe-d8920afb70b9.xml"
"9a722227-b010-4109-821d-b847b9ed9c08","Toporama - 063C05","Toporama is a digital topographic reference product developed by Natural Resources Canada (NRCan). It covers the entire area of Canada's landmass and provides topographic, geo-referenced, and symbolic information in a raster format. The delimitation, content and representation of this product are similar to those of 1:50,000 scale topographical maps. Toporama is published as an edition (or  release ) approximately every six months. It is available free of charge through the GeoGratis portal (www.GeoGratis.gc.ca) in GeoTIFF format, which is a geo-referenced raster format. Toporama is available in the following spatial reference systems: Universal Transverse Mercator (UTM) and geographic (latitude and longitude). Toporama is a product aimed at the general public that can be used by GPS system users who need a geo-referenced raster map product.","government-of-canada-natural-resources-canada-earth-sciences-sector-mapping-information-branch-centre-for-topographic-information---sherbrooke, 063c05, localisations--continent--amerique-du-nord--canada--manitoba, localisations--continent--amerique-du-nord--canada--saskatchewan, locations--continent--north-america--canada--manitoba, locations--continent--north-america--canada--saskatchewan, townsend-lake, toporama, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.5,43.75 -100,43.75 -100,77.75 -99.5,77.75 -99.5,43.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-99.5 43.75,-100 43.75,-100 77.75,-99.5 77.75,-99.5 43.75))","http://geogratis.gc.ca/api/en/nrcan-rncan/ess-sst/9a722227-b010-4109-821d-b847b9ed9c08.xml"
"73ec0ce4-7460-48fe-9c57-9b9248fbef56","Toporama - 033N15","Toporama is a digital topographic reference product developed by Natural Resources Canada (NRCan). It covers the entire area of Canada's landmass and provides topographic, geo-referenced, and symbolic information in a raster format. The delimitation, content and representation of this product are similar to those of 1:50,000 scale topographical maps. Toporama is published as an edition (or  release ) approximately every six months. It is available free of charge through the GeoGratis portal (www.GeoGratis.gc.ca) in GeoTIFF format, which is a geo-referenced raster format. Toporama is available in the following spatial reference systems: Universal Transverse Mercator (UTM) and geographic (latitude and longitude). Toporama is a product aimed at the general public that can be used by GPS system users who need a geo-referenced raster map product.","government-of-canada-natural-resources-canada-earth-sciences-sector-mapping-information-branch-centre-for-topographic-information---sherbrooke, 033n15, lac-desjardins, localisations--continent--amerique-du-nord--canada--nunavut, localisations--continent--amerique-du-nord--canada--quebec, locations--continent--north-america--canada--nunavut, locations--continent--north-america--canada--quebec, toporama, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.5,43.75 -100,43.75 -100,77.75 -99.5,77.75 -99.5,43.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-99.5 43.75,-100 43.75,-100 77.75,-99.5 77.75,-99.5 43.75))","http://geogratis.gc.ca/api/en/nrcan-rncan/ess-sst/73ec0ce4-7460-48fe-9c57-9b9248fbef56.xml"
"1e2facd1-5c12-4039-b4eb-fcd4680097e4","Toporama - 036O13","Toporama is a digital topographic reference product developed by Natural Resources Canada (NRCan). It covers the entire area of Canada's landmass and provides topographic, geo-referenced, and symbolic information in a raster format. The delimitation, content and representation of this product are similar to those of 1:50,000 scale topographical maps. Toporama is published as an edition (or  release ) approximately every six months. It is available free of charge through the GeoGratis portal (www.GeoGratis.gc.ca) in GeoTIFF format, which is a geo-referenced raster format. Toporama is available in the following spatial reference systems: Universal Transverse Mercator (UTM) and geographic (latitude and longitude). Toporama is a product aimed at the general public that can be used by GPS system users who need a geo-referenced raster map product.","government-of-canada-natural-resources-canada-earth-sciences-sector-mapping-information-branch-centre-for-topographic-information---sherbrooke, 036o13, localisations--continent--amerique-du-nord--canada--nunavut, locations--continent--north-america--canada--nunavut, toporama, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.5,43.75 -100,43.75 -100,77.75 -99.5,77.75 -99.5,43.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-99.5 43.75,-100 43.75,-100 77.75,-99.5 77.75,-99.5 43.75))","http://geogratis.gc.ca/api/en/nrcan-rncan/ess-sst/1e2facd1-5c12-4039-b4eb-fcd4680097e4.xml"
"80b0bdd3-c109-49a6-ad76-00876cee76d9","Toporama - 026N05","Toporama is a digital topographic reference product developed by Natural Resources Canada (NRCan). It covers the entire area of Canada's landmass and provides topographic, geo-referenced, and symbolic information in a raster format. The delimitation, content and representation of this product are similar to those of 1:50,000 scale topographical maps. Toporama is published as an edition (or  release ) approximately every six months. It is available free of charge through the GeoGratis portal (www.GeoGratis.gc.ca) in GeoTIFF format, which is a geo-referenced raster format. Toporama is available in the following spatial reference systems: Universal Transverse Mercator (UTM) and geographic (latitude and longitude). Toporama is a product aimed at the general public that can be used by GPS system users who need a geo-referenced raster map product.","government-of-canada-natural-resources-canada-earth-sciences-sector-mapping-information-branch-centre-for-topographic-information---sherbrooke, 026n05, localisations--continent--amerique-du-nord--canada--nunavut, locations--continent--north-america--canada--nunavut, toporama, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.5,43.75 -100,43.75 -100,77.75 -99.5,77.75 -99.5,43.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-99.5 43.75,-100 43.75,-100 77.75,-99.5 77.75,-99.5 43.75))","http://geogratis.gc.ca/api/en/nrcan-rncan/ess-sst/80b0bdd3-c109-49a6-ad76-00876cee76d9.xml"
"9ec2a30c-1200-48a3-9a87-ecc4e10f6b64","Toporama - 022J16","Toporama is a digital topographic reference product developed by Natural Resources Canada (NRCan). It covers the entire area of Canada's landmass and provides topographic, geo-referenced, and symbolic information in a raster format. The delimitation, content and representation of this product are similar to those of 1:50,000 scale topographical maps. Toporama is published as an edition (or  release ) approximately every six months. It is available free of charge through the GeoGratis portal (www.GeoGratis.gc.ca) in GeoTIFF format, which is a geo-referenced raster format. Toporama is available in the following spatial reference systems: Universal Transverse Mercator (UTM) and geographic (latitude and longitude). Toporama is a product aimed at the general public that can be used by GPS system users who need a geo-referenced raster map product.","government-of-canada-natural-resources-canada-earth-sciences-sector-mapping-information-branch-centre-for-topographic-information---sherbrooke, 022j16, lac-a-leau-doree, localisations--continent--amerique-du-nord--canada--quebec, locations--continent--north-america--canada--quebec, toporama, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.5,43.75 -100,43.75 -100,77.75 -99.5,77.75 -99.5,43.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-99.5 43.75,-100 43.75,-100 77.75,-99.5 77.75,-99.5 43.75))","http://geogratis.gc.ca/api/en/nrcan-rncan/ess-sst/9ec2a30c-1200-48a3-9a87-ecc4e10f6b64.xml"
"1e401bd2-c0d2-447a-83af-0b38278655bb","Toporama - 030N15","Toporama is a digital topographic reference product developed by Natural Resources Canada (NRCan). It covers the entire area of Canada's landmass and provides topographic, geo-referenced, and symbolic information in a raster format. The delimitation, content and representation of this product are similar to those of 1:50,000 scale topographical maps. Toporama is published as an edition (or  release ) approximately every six months. It is available free of charge through the GeoGratis portal (www.GeoGratis.gc.ca) in GeoTIFF format, which is a geo-referenced raster format. Toporama is available in the following spatial reference systems: Universal Transverse Mercator (UTM) and geographic (latitude and longitude). Toporama is a product aimed at the general public that can be used by GPS system users who need a geo-referenced raster map product.","government-of-canada-natural-resources-canada-earth-sciences-sector-mapping-information-branch-centre-for-topographic-information---sherbrooke, 030n15, localisations--continent--amerique-du-nord--canada--ontario, locations--continent--north-america--canada--ontario, yorkshire-island, toporama, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.5,43.75 -100,43.75 -100,77.75 -99.5,77.75 -99.5,43.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-99.5 43.75,-100 43.75,-100 77.75,-99.5 77.75,-99.5 43.75))","http://geogratis.gc.ca/api/en/nrcan-rncan/ess-sst/1e401bd2-c0d2-447a-83af-0b38278655bb.xml"
"d07106d0-2ae0-499d-9d75-a0342dad5034","Toporama - 064P06","Toporama is a digital topographic reference product developed by Natural Resources Canada (NRCan). It covers the entire area of Canada's landmass and provides topographic, geo-referenced, and symbolic information in a raster format. The delimitation, content and representation of this product are similar to those of 1:50,000 scale topographical maps. Toporama is published as an edition (or  release ) approximately every six months. It is available free of charge through the GeoGratis portal (www.GeoGratis.gc.ca) in GeoTIFF format, which is a geo-referenced raster format. Toporama is available in the following spatial reference systems: Universal Transverse Mercator (UTM) and geographic (latitude and longitude). Toporama is a product aimed at the general public that can be used by GPS system users who need a geo-referenced raster map product.","government-of-canada-natural-resources-canada-earth-sciences-sector-mapping-information-branch-centre-for-topographic-information---sherbrooke, 064p06, fallis-lake, localisations--continent--amerique-du-nord--canada--manitoba, locations--continent--north-america--canada--manitoba, toporama, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.5,43.75 -100,43.75 -100,77.75 -99.5,77.75 -99.5,43.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-99.5 43.75,-100 43.75,-100 77.75,-99.5 77.75,-99.5 43.75))","http://geogratis.gc.ca/api/en/nrcan-rncan/ess-sst/d07106d0-2ae0-499d-9d75-a0342dad5034.xml"
"8f846b91-1987-4144-b454-dcffccacc386","Toporama - 094O10","Toporama is a digital topographic reference product developed by Natural Resources Canada (NRCan). It covers the entire area of Canada's landmass and provides topographic, geo-referenced, and symbolic information in a raster format. The delimitation, content and representation of this product are similar to those of 1:50,000 scale topographical maps. Toporama is published as an edition (or  release ) approximately every six months. It is available free of charge through the GeoGratis portal (www.GeoGratis.gc.ca) in GeoTIFF format, which is a geo-referenced raster format. Toporama is available in the following spatial reference systems: Universal Transverse Mercator (UTM) and geographic (latitude and longitude). Toporama is a product aimed at the general public that can be used by GPS system users who need a geo-referenced raster map product.","government-of-canada-natural-resources-canada-earth-sciences-sector-mapping-information-branch-centre-for-topographic-information---sherbrooke, 094o10, localisations--continent--amerique-du-nord--canada--colombie-britanique, locations--continent--north-america--canada--british-columbia, tightfit-lake, toporama, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.5,43.75 -100,43.75 -100,77.75 -99.5,77.75 -99.5,43.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-99.5 43.75,-100 43.75,-100 77.75,-99.5 77.75,-99.5 43.75))","http://geogratis.gc.ca/api/en/nrcan-rncan/ess-sst/8f846b91-1987-4144-b454-dcffccacc386.xml"
"742d4076-2a58-4bbb-a85d-ee9584fc69e6","Toporama - 025L11","Toporama is a digital topographic reference product developed by Natural Resources Canada (NRCan). It covers the entire area of Canada's landmass and provides topographic, geo-referenced, and symbolic information in a raster format. The delimitation, content and representation of this product are similar to those of 1:50,000 scale topographical maps. Toporama is published as an edition (or  release ) approximately every six months. It is available free of charge through the GeoGratis portal (www.GeoGratis.gc.ca) in GeoTIFF format, which is a geo-referenced raster format. Toporama is available in the following spatial reference systems: Universal Transverse Mercator (UTM) and geographic (latitude and longitude). Toporama is a product aimed at the general public that can be used by GPS system users who need a geo-referenced raster map product.","government-of-canada-natural-resources-canada-earth-sciences-sector-mapping-information-branch-centre-for-topographic-information---sherbrooke, 025l11, localisations--continent--amerique-du-nord--canada, locations--continent--north-america--canada, toporama, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-99.5,43.75 -100,43.75 -100,77.75 -99.5,77.75 -99.5,43.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-99.5 43.75,-100 43.75,-100 77.75,-99.5 77.75,-99.5 43.75))","http://geogratis.gc.ca/api/en/nrcan-rncan/ess-sst/742d4076-2a58-4bbb-a85d-ee9584fc69e6.xml"
