Language code (ISO 639-1),lang-code,en,fr,af,sq,ar,hy,bg,zh,zh-Hans,cs,nl,et,de,el,hi,hu,is,id,it,iu,ja,ko,lv,lt,pl,pt,pt-BR,ru,sk,es,th,tr,uk,vi
Language code (ISO 639-2/T),lang-code-iso-639-2,eng,fra,afr,sqi,ara,hye,bul,zho,zho-Hans,cze,nld,est,deu,ell,hin,hun,isl,ind,ita,iku,jpn,kor,lav,lit,pol,por,por-BR,rus,slk,spa,tha,tur,ukr,vie
Language direction,lang-dir,ltr,ltr,ltr,ltr,rtl,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr
Language name (English),lang-en,English,French,Afrikaans,Albanian,Arabic,Armenian,Bulgarian,Chinese,Chinese (Simplified),Czech,Dutch,Estonian,German,Greek,Hindi,Hungarian,Icelandic,Indonesian,Italian,Inuktitut,Japanese,Korean,Latvian,Lithuanian,Polish,Portuguese,Portuguese (Brazilian),Russian,Slovak,Spanish,Thai,Turkish,Ukrainian,Vietnamese
Language name (French),lang-fr,anglais,français,afrikaans,albanais,arabe,arménien,bulgare,chinois,chinois (simplifié),tchèque,néerlandais,estonien,allemand,grec,hindi,hongrois,islandais,indonésien,italien,Inuktitut,japonais,coréen,letton,lituanien,polonais,portugais,portugais (brésilien),russe,slovaque,espagnol,thaï,turc,ukrainien,vietnamien
Language name (native),lang-native,English,Français,Afrikaans,Shqip,العربية,Հայերեն,Български език,繁體字,繁体字,Čeština,Nederlands,Eesti keel,Deutsch,Ελληνικά,मानक हिन्दी,Magyar,Íslenska,Bahasa Indonesia,Italiano,Inuktitut,日本語,한국어,Latviešu valoda,Lietuvių kalba,Język polski,Português,Português do Brasil,Русский язык,Slovenčina,Español,ภาษาไทย,Türkçe,Українська мова,Tiếng Việt
General (i18n),all,All,Tous,Alle,Të gjithë,جميع,Բոլորը,Всички,全部,全部,Vše,Allen,Kõik,Alle,Όλα,सब,Mind,Allt,Semua,Tutti,ᑕᒪᐃᓐᓂ,すべて,모든,Visi,Visi,Wszystko,Todos,Tudo,Все,Všetko,Todo,ทั้งหมด,Tüm,Все,Tất cả
,add,Add,Ajouter,Voeg,Shtoj,إضافة,ավելացնել,Добави,添加,添加,Přidat,Toevoegen,Lisama,Hinzufügen,Προσθήκη,जोड़ना,Hozzáad,Bæta,Menambahkan,Aggiungere,ᐃᓚᓕ,加える,추가,Pievienot,papildyti,Ddać,Adicionar,Adicionar,добавлять,Pridať,Añadir,เพิ่ม,Eklemek,додавати,thêm vào
,home,Home,Accueil,Home,Shtëpi,منزل,Տուն,Дом,首頁,首页,Domácí,Home,Kodu,Zuhause,Σπίτι,घर,Honlap,Heima,Halaman Awal,Home,ᐱᒋᐊᕐᕕᒃ,ホーム,Wrong?,Sākums,Pradžia,Strona główna,Página inicial,Página inicial,На главную,Domáce,Página de inicio,บ้าน,Ev,На головну,Quê hương
,main-page,Main page,Page principale,Main bladsy,Faqja kryesore,الصفحة الرئيسية,Գլխավոր էջ,Главна страница,主頁,主页,Hlavní stránka,Hoofdpagina,Pealeht,Startseite,Κύρια σελίδα,मुख्य पृष्ठ,Főoldal,Aðalsíða,Halaman utama,Pagina principale,ᒪᑉᐱᒐᓪᓗᐊᑕᖅ,メインページ,메인 페이지,Galvenā,Pagrindinis puslapis,Strona główna,Página principal,Página principal,Главная,Hlavná stránka,Página principal,หน้าหลัก,Ana sayfa,Головна,Trang chính
,focus,Focus,Foyer,Fokus,Fokus,تركز,կենտրոնանալ,Фокус,集中,集中,Soustředit,Focus,Fookus,Konzentrieren,Εστίαση,फोकस,Fókusz,Einbeittu,Fokus,Focus,ᑐᕌᕐᕕᒃ,フォーカス,초점,Koncentrēt,Sutelkti,Skupiać,Foco,Foco,Сфокусировать,Sústrediť,Enfoque,โฟกัส,Odak,Сфокусувати,Tập trung
,tphp,Top of page,Haut de la page,Top van die bladsy,Fillimi i faqes,أعلى الصفحة,Էջի սկիզբ,Начало на страницата,頁首,页首,Na začátek stránky,Bovenkant pagina,Lehekülje algusesse,Zum Seitenanfang,Επιστροφή στην αρχή της σελίδα,पृष्ठ का शीर्ष,Oldal teteje,Efst á síðu,Halaman Atas,Inizio pagina,ᐱᒋᐊᕐᕕᐊᓄᑦ ᐅᑎᕐᓗᑎᑦ,ページの先頭,맨 위로,Lapas augša,Puslapio viršus,Góra strony,Início da Página,Início da Página,Наверх,Na začiatok stránky,Arriba,ด้านบนของหน้า,Sayfa Başı,На початок сторінки,Trở về đầu trang
,you-are-in,You are in:,Vous êtes dans :,Jy is in:,Ju jeni në:,أنت في:,Դուք ամեն ինչ `,Вие се намирате в:,你目前在,您在：,Nyní se nacházíte v:,U bent hier:,Olete lehel:,Sie sind in:,Βρίσκεσαι σε:,तुम में हैं:,Ön itt van:,Þú ert á:,Anda berada di:,Sei in:,ᐅᕙᓃᑦᑐᑎᑦ:,現在位置：,당신은에,Jūs esat:,Esate:,Jesteś w:,Você está no:,Você está no:,Вы находитесь в:,Teraz sa nachádzate v:,Usted está en:,คุณกำลังอยู่ใน,Şuradasınız:,Ви на/в,Bạn đang ở trong:
,you-are-here,You are here:,Vous êtes ici :,Jy is hier:,Ju jeni këtu:,كنت في   أنت هنا:,Դուք այստեղ եք `,Вие се намирате в:,您現在的位置,您现在的位置：,Nyní se nacházíte zde:,U bent hier:,Olete lehel:,Sie sind hier:,Είστε εδώ:,आप यहाँ हैं:,Ön itt van:,Þú ert hér:,Anda di sini:,Sei qui:,ᒫᓃᑦᑐᑎᖅ:,現在地：,현재 위치 :,Jūs esat šeit:,Esate čia:,Jesteś tutaj:,Você está aqui:,Você está aqui:,Вы находитесь здесь:,Teraz sa nachádzate tu:,Usted está aquí:,คุณอยู่ที่นี่,Buradasınız:,Ви тут,Bạn đang ở đây:
,welcome-to,Welcome to:,Bienvenue à :,Welkom by,Mirë se vini në,مرحبا بكم في,Բարի գալուստ,Добре дошли в,歡迎,欢迎到：,Vítejte:,Welkom bij:,Tere tulemast lehele,Willkommen bei,Καλώς ήρθατε στο,में आपका स्वागत है:,Üdvözöljük,Velkomin á:,Selamat datang di:,Benvenuti,ᐅᕗᖓ ᑐᙵᓱᒋᑦ:,[xxx] へようこそ,에 오신 것을 환영합니다:,Laipni lūgti:,Sveiki atvykę į,Witamy,Bem-vindo à:,Bem-vindo à:,Добро пожаловать в:,Vitajte:,Bienvenido a:,ยินดีต้อนรับสู่,Hoşgeldiniz:,Вітаємо на/в,Chào mừng bạn đến với
,load,loading...,chargement...,loading ...,ngarkimin ...,   تحميل ...,բեռնման ...,зарежда се ...,下載中…,装载...,nakládání ...,het laden van ...,laadimine....,Be ...,φόρτωση ...,लोड हो रहा है ...,betöltése ...,hleðsla ...,memuat ...,caricamento...,ᐴᖅᐸᓪᓕᐊᔪᖅ…,ロード中･･･,로드 중 ...,ielādēšana ...,pakrovimo ...,ładowanie ...,carregamento ...,carregando ...,Загрузка ...,nakladanie ...,cargando …,โหลด ...,yükleniyor ...,Завантаження ...,tải ...
,process,processing...,traitement...,verwerking ...,përpunimit të ...,تجهيز ...,Մշակվում է ...,Обработва се ...,處理...,处理...,zpracování ...,verwerking ...,töötlemine ...,Verarbeitung ...,επεξεργασία ...,प्रसंस्करण ...,feldolgozás ...,vinnslu ...,pengolahan ...,elaborazione ...,ᐱᕙᓪᓕᐊᔪᖅ…,処理中･･･,처리 중 ...,pārstrādes ...,perdirbimo ...,przetwarzanie ...,processamento ...,processando ...,обработки ...,spracovanie ...,en proceso …,การประมวลผล ...,işleme ...,оброблено ...,xử lý ...
,srch,Search,Recherche,Soek,Kërko,البحث,Որոնել,Търсене,搜尋,搜索,Hledat,Zoeken,Otsi,Suchen,Αναζήτηση σε,खोजें,Keresés,Leita,Cari,Cerca,ᕿᓂᕈᑎ,検索,검색,Meklēt,Paieška,Szukaj,Buscar,Buscar,Поиск,Hľadať,Búsqueda,ค้นหา,Ara,Пошук,Tìm kiếm
,srch-terms,Search for term(s):,Recherche de terme(s)&#160;:,Soek vir terme:,Kërko për fjalë:,البحث عن شروط:,Որոնել պայմաններով:,Търсене за термини:,搜尋項目,搜索短语,Hledat podmínek:,Zoeken naar trefwoorden:,Otsi mõistet,Suche nach Begriffen:,Αναζήτηση όρους:,शब्द (ओं) के लिए खोज:,Keresett kifejezés:,Leita að orðum:,Cari istilah:,Cerca parola/e:,ᑕᐃᒎᓯᕐᒥ(ᓂ) ᕿᓂᕈᑎ:,検索キーワード：,용어 검색 :,Meklēt terminu:,Terminoų paieška:,Szukaj frazy:,Buscar por termo(s):,Buscar por palavra(s):,Поиск терминов:,Hľadať podmienok:,Buscar por palabra(s):,การค้นหาสำหรับคำ:,Terimler için ara:,Пошук термінів,Tìm kiếm với các điều kiện:
,no-match,No match found,Aucune correspondance trouvée,Geen wedstryd gevind,Nuk është gjetur përputhje,لا نتائج تذكر لل,Ոչ խաղը չի գտնվել,"Не е съвпадение, установиха",找不到合適項目,无匹配结果,No nalezena shoda,Er zijn geen resultaten gevonden voor uw zoekopdracht,Vastet ei leitud,Keine Übereinstimmung gefunden,Δεν που βρέθηκαν αγώνα,कोई मैच मिल गया,Nincs találat,Engin samsvörun fannst,Tidak ditemukan kecocokan,Nessuna corrispondenza trovata,ᐊᔾᔨᖃᙱᑦᑐᖅ,次の条件に一致する情報は見つかりませんでした。,일치하는 결과가 없습니다,Atbilstība nav atrasta,Atitikmenų nerasta,Nie znaleziono odpowiedników,Nenhuma correspondência encontrada,Nenhum resultado encontrado,Соответствий не найдено,No nájdená zhoda,0 resultados encontrados,ไม่มีการแข่งขันพบ,Eşleşme bulunamadı,Нічого не знайдено,Không hợp được tìm thấy
,matches,[MIXIN] match(es) found,[MIXIN] correspondance(s) trouvées,[MIXIN] wedstryde,[MIXIN] ndeshjet gjet,العثور على [MIXIN] مباريات,[MIXIN] հանդիպումները գտել,[MIXIN] открити съвпадения,找到[MIXIN]項目,找到[MIXIN]项目,[MIXIN] zápasů nenalezen,[MIXIN] gevonden zoekresultaten,Leitud [MIXIN] vaste(t),[MIXIN] Ergebnisse gefunden,[MIXIN] αγώνες που βρέθηκαν,[MIXIN] मैचों मिला,[MIXIN] találat,[MIXIN] niðurstöður fundust,Ditemukan [MIXIN] kecocokan,[MIXIN] corrispondenza/e trovata/e,[MIXIN] ᐊᔾᔨᖓ(ᖏᑦ) ᓇᓂᔭᖅ,検索結果： [MIXIN] 件,[MIXIN] 일치하는 검색 결과가,[MIXIN] atbilstība(s) nav atrasta(s),[MIXIN] atitikmuo (-enys) rasti,Znaleziono [MIXIN] odpowiedników,[MIXIN] Encontrada(s) correspondência(s),[MIXIN] Resulatdo(s) Encontrado(s),[MIXIN] cоответствий найдено,[MIXIN] zápasov nenájdený,[MIXIN] resultado(s) encontrados,[MIXIN] พบว่าตรงกัน,[MIXIN] eşleşme bulundu,[MIXIN] знайдено,[MIXIN] trận được tìm thấy
,srch-menus,Search and menus,Recherche et menus,Soek en spyskaarte,Kërko dhe menutë,البحث والقوائم,Որոնել եւ Ընտրացանկերը,Търсене и менюта,搜索和菜單,搜索和菜单,Vyhledávání a nabídky,Zoeken en menu's,Otsi ja menüüd,Suche und Menüs,Αναζήτηση και μενού,खोज और मेनू,Keresés és menük,Leit og valmyndir,Cari dari menu,Ricerca e menu,ᕿᓂᕈᑎ ᐊᒻᒪ ᓱᔾᔪᑏᑦ,検索とメニュー,검색 및 메뉴,Meklēšanas un ēdienkartes,Ieškoti ir meniu,Wyszukaj i menu,Pesquisa e menus,Pesquisa e menus,Поиск и меню,Vyhľadávanie a ponuky,Búsqueda y menús,ค้นหาและเมนู,Arama ve menüler,Пошук і меню,Tìm kiếm và thực đơn
,menu,Menu,Menu,Menu,Menu,قائمة الطعام,Մենյու,Меню,選單,菜单,Menu,Menu,Menüü,Menü,Μενού,मेनू,Menü,Valmynd,Menu,Menu,ᓱᔾᔪᑎᑦ,メニュー,메뉴,Izvēlne,Meniu,Menu,Menu,Menu,Меню,Menu,Menú,เมนู,Menü,Меню,Thực đơn
