,String code,English,French,Afrikaans,Albanian,Arabic,Armenian,Bulgarian,Chinese,Chinese (Simplified),Czech,Dutch,Estonian,German,Greek,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Korean,Latvian,Lithuanian,Polish,Portuguese,Portuguese (Brazilian),Russian,Slovak,Spanish,Thai,Turkish,Ukrainian,Vietnamese
Language code (ISO 639-1),%lang-code,en,fr,af,sq,ar,hy,bg,zh,zh-Hans,cs,nl,et,de,el,hi,hu,is,id,it,ja,ko,lv,lt,pl,pt,pt-BR,ru,sk,es,th,tr,uk,vi
Language code (ISO 639-2/T),%lang-code-iso-639-2,eng,fra,afr,sqi,ara,hye,bul,zho,zho-Hans,cze,nld,est,deu,ell,hin,hun,isl,ind,ita,jpn,kor,lav,lit,pol,por,por-BR,rus,slk,spa,tha,tur,ukr,vie
Language direction,%lang-dir,ltr,ltr,ltr,ltr,rtl,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr
Language name (English),%lang-eng,English,French,Afrikaans,Albanian,Arabic,Armenian,Bulgarian,Chinese,Chinese (Simplified),Czech,Dutch,Estonian,German,Greek,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Korean,Latvian,Lithuanian,Polish,Portuguese,Portuguese (Brazilian),Russian,Slovak,Spanish,Thai,Turkish,Ukrainian,Vietnamese
Language name (French),%lang-fra,anglais,français,afrikaans,albanais,arabe,arménien,bulgare,chinois,chinois (simplifié),tchèque,néerlandais,estonien,allemand,grec,hindi,hongrois,islandais,indonésien,italien,japonais,coréen,letton,lituanien,polonais,portugais,portugais (brésilien),russe,slovaque,espagnol,thaï,turc,ukrainien,vietnamien
Language name (native),%lang-native,English,Français,Afrikaans,shqip,العربية,Հայերեն,български език,繁體字,繁体字,čeština,Nederlands,eesti keel,Deutsch,ελληνικά,मानक हिन्दी,magyar,íslenska,Bahasa Indonesia,Italiano,日本語,한국어,latviešu valoda,lietuvių kalba,język polski,português,português do Brasil,русский язык,slovenčina,español,ภาษาไทย,Türkçe,Українська мова,tiếng Việt
General (i18n),%all,All,Tous,Alle,Të gjithë,جميع,Բոլորը,Всички,全部,全部,Vše,Allen,Kõik,Alle,Όλα,सब,Mind,Allt,Semua,Tutti,すべて,모든,Visi,Visi,Wszystko,Todos,Tudo,Все,Všetko,Todo,ทั้งหมด,Tüm,Все,Tất cả
,%home,Home,Accueil,Home,Shtëpi,منزل,Տուն,Дом,首頁,首页,Domácí,Home,Kodu,Zuhause,Σπίτι,घर,Honlap,Heima,Halaman Awal,Home,ホーム,집,Sākums,Pradžia,Strona główna,Página inicial,Página inicial,На главную,Domáce,Página de inicio,บ้าน,Ev,Додому,Quê hương
,%main-page,Main page,Page principale,Main bladsy,Faqja kryesore,الصفحة الرئيسية,Գլխավոր էջ,Главна страница,主頁,主页,Hlavní stránka,Hoofdpagina,Pealeht,Startseite,Κύρια σελίδα,मुख्य पृष्ठ,Főoldal,Aðalsíða,Halaman utama,Pagina principale,メインページ,메인 페이지,Galvenā,Pagrindinis puslapis,Strona główna,Página principal,Página principal,Главная,Hlavná stránka,Página principal,หน้าหลัก,Ana sayfa,Головна,Trang chính
,%focus,Focus,Foyer,Fokus,Fokus,تركز,կենտրոնանալ,Фокус,集中,集中,Soustředit,Focus,Keskenduma,Konzentrieren,Εστίαση,फोकस,Fókusz,Einbeittu,Fokus,Focus,フォーカス,초점,Koncentrēt,Sutelkti,Skupiać,Foco,Foco,Сфокусировать,Sústrediť,Enfoque,โฟกัส,Odak,Сфокусувати,Tập trung
,%top-of-page,Top of page,Haut de la page,Top van die bladsy,Fillimi i faqes,أعلى الصفحة,Էջի սկիզբ,Начало на страницата,頁首,页首,Na začátek stránky,Bovenkant pagina,Lehekülje algusesse,Zum Seitenanfang,Επιστροφή στην αρχή της σελίδα,पृष्ठ का शीर्ष,Oldal teteje,Efst á síðu,Halaman Atas,Inizio pagina,ページの先頭,맨 위로,Lapas augša,Puslapio viršus,Góra strony,Início da Página,Início da Página,Наверх,Na začiatok stránky,Arriba,ด้านบนของหน้า,Sayfa Başı,Вверх сторінки,Trở về đầu trang
,%you-are-in,You are in:,Vous êtes dans :,Jy is in,Ju jeni në,كنت في,Դուք են,Вие се намирате в,你目前在,您在：,Nyní se nacházíte v:,U bent hier:,Te olete,Sie sind in,You are σε,तुम में हैं:,Ön itt van:,Þú ert á:,Anda berada di:,Sei in:,現在位置：,당신은에,Jūs esat:,Esate,Jesteś w:,Você está no/a:,Você está no/a:,Вы находитесь в:,Teraz sa nachádzate v:,Usted está en:,คุณกำลังอยู่ใน,Şuradasınız:,Ви на/в,Bạn đang ở trong
,%welcome-to,Welcome to:,Bienvenue à :,Welkom by,Mirë se vini në,مرحبا بكم في,Բարի գալուստ,Добре дошли в,歡迎,欢迎到：,Vítejte:,Welkom bij:,Tere tulemast,Willkommen bei,Καλώς ήρθατε στο,में आपका स्वागत है:,Üdvözöljük,Velkomin á:,Selamat datang di:,Benvenuti,[xxx] へようこそ,에 오신 것을 환영합니다:,Laipni lūgti:,Sveiki atvykę į,Witamy,Bem-vindo/a:,Bem-vindo/a à/ao:,Добро пожаловать в:,Vitajte:,Bienvenido a:,ยินดีต้อนรับสู่,Hoşgeldiniz:,Вітаємо на/в,Chào mừng bạn đến với
,%loading,loading...,chargement...,loading ...,ngarkimin ...,   تحميل ...,բեռնման ...,зарежда се ...,下載中…,装载...,nakládání ...,het laden van ...,laadimise ...,Be ...,φόρτωση ...,लोड हो रहा है ...,betöltése ...,hleðsla ...,memuat ...,caricamento...,ロード中･･･,로드 중 ...,ielādēšana ...,pakrovimo ...,ładowanie ...,carregamento ...,carregando ...,Загрузка ...,nakladanie ...,cargando …,โหลด ...,yükleniyor ...,Завантаження ...,tải ...
,%processing,processing...,traitement...,verwerking ...,përpunimit të ...,تجهيز ...,Մշակվում է ...,Обработва се ...,處理...,处理...,zpracování ...,verwerking ...,töötlemise ...,Verarbeitung ...,επεξεργασία ...,प्रसंस्करण ...,feldolgozás ...,vinnslu ...,pengolahan ...,elaborazione ...,処理中･･･,처리 중 ...,pārstrādes ...,perdirbimo ...,przetwarzanie ...,processamento ...,processando ...,обработки ...,spracovanie ...,en proceso …,การประมวลผล ...,işleme ...,обробки ...,xử lý ...
,%search,Search,Recherche,Soek,Kërko,البحث,Որոնել,Търсене,搜尋,搜索,Hledat,Zoeken,Otsi,Suchen,Αναζήτηση σε,खोजें,Keresés,Leita,Cari,Cerca,検索,검색,Meklēt,Paieška,Szukaj,Buscar,Buscar,Поиск,Hľadať,Búsqueda,ค้นหา,Ara,Пошук,Tìm kiếm
,%search-for-terms,Search for term(s):,Recherche de terme(s)&#160;:,Soek vir terme:,Kërko për fjalë:,البحث عن شروط:,Որոնել պայմաններով:,Търсене за термини:,搜尋項目,搜索短语,Hledat podmínek:,Zoeken naar trefwoorden:,Otsi tingimustel:,Suche nach Begriffen:,Αναζήτηση όρους:,शब्द (ओं) के लिए खोज:,Keresett kifejezés:,Leita að orðum:,Cari istilah:,Cerca parola/e:,検索キーワード：,용어 검색 :,Meklēt terminu:,Terminoų paieška:,Szukaj frazy:,Buscar por termo(s):,Buscar por palavra(s):,Поиск терминов:,Hľadať podmienok:,Buscar por palabra(s):,การค้นหาสำหรับคำ:,Terimler için ara:,Пошук умовах:,Tìm kiếm với các điều kiện:
,%no-match-found,No match found,Aucune correspondance trouvée,Geen wedstryd gevind,Nuk është gjetur përputhje,لا نتائج تذكر لل,Ոչ խաղը չի գտնվել,"Не е съвпадение, установиха",找不到合適項目,无匹配结果,No nalezena shoda,Er zijn geen resultaten gevonden voor uw zoekopdracht,Vastet ei leitud,Keine Übereinstimmung gefunden,Δεν που βρέθηκαν αγώνα,कोई मैच मिल गया,Nincs találat,Engin samsvörun fannst,Tidak ditemukan kecocokan,Nessuna corrispondenza trovata,次の条件に一致する情報は見つかりませんでした。,일치하는 결과가 없습니다,Atbilstība nav atrasta,Atitikmenų nerasta,Nie znaleziono odpowiedników,Nenhuma correspondência encontrada,Nenhum resultado encontrado,Соответствий не найдено,No nájdená zhoda,0 resultados encontrados,ไม่มีการแข่งขันพบ,Eşleşme bulunamadı,Нічого не знайдено,Không hợp được tìm thấy
,%matches-found,[MIXIN] match(es) found,[MIXIN] correspondance(s) trouvées,[MIXIN] wedstryde,[MIXIN] ndeshjet gjet,العثور على [MIXIN] مباريات,[MIXIN] հանդիպումները գտել,[MIXIN] открити съвпадения,找到[MIXIN]項目,找到[MIXIN]项目,[MIXIN] zápasů nenalezen,[MIXIN] gevonden zoekresultaten,[MIXIN] vaste leitud,[MIXIN] Ergebnisse gefunden,[MIXIN] αγώνες που βρέθηκαν,[MIXIN] मैचों मिला,[MIXIN] találat,[MIXIN] niðurstöður fundust,Ditemukan [MIXIN] kecocokan,[MIXIN] corrispondenza/e trovata/e,検索結果： [MIXIN] 件,[MIXIN] 일치하는 검색 결과가,[MIXIN] atbilstība(s) nav atrasta(s),[MIXIN] atitikmuo (-enys) rasti,Znaleziono [MIXIN] odpowiedników,[MIXIN] Encontrada(s) correspondência(s),[MIXIN] Resulatdo(s) Encontrado(s),[MIXIN] cоответствий найдено,[MIXIN] zápasov nenájdený,[MIXIN] resultado(s) encontrados,[MIXIN] พบว่าตรงกัน,[MIXIN] eşleşme bulundu,[MIXIN] знайдено,[MIXIN] trận được tìm thấy
,%menu,Menu,Menu,Menu,Menu,قائمة الطعام,Մենյու,Меню,選單,菜单,Menu,Menu,Menüü,Menü,Μενού,मेनू,Menü,Valmynd,Menu,Menu,メニュー,메뉴,Izvēlne,Meniu,Menu,Menu,Menu,Меню,Menu,Menú,เมนู,Menü,Меню,Thực đơn
,%settings,Settings,Paramètres,Stellings,Cilësimet,إعدادات,Կառավարում,Настройки,目前,设置,Nastavení,Instellingen,Seaded,Einstellungen,Ρυθμίσεις,सेटिंग्स,Beállítások,Stillingar,Pengaturan,Impostazioni,設定,설정,Iestatījumi,Nustatymai,Ustawienia,Configurações,Configurações,настройки,Nastavenie,Configuración,การตั้งค่า,Ayarlar,Налаштування,Cài đặt
,%languages,Languages,Langues,Tale,Gjuhë,لغات,Լեզուներ,Езици,語言,语言,Jazyky,Talen,Keeled,Sprachen,Γλώσσες,भाषाएँ,Nyelvek,Tungumál,Bahasa,Lingue,言語,언어,Valodas,Kalbos,Języki,Idiomas,Idiomas,Языки,Jazyky,Idiomas,ภาษา,Diller,Мови,Ngôn ngữ
,%about,About,À propos,Oor,Për,حول,Մոտ,За,關於,关于,O,Over,Kohta,Über,Σχετικά με,के बारे में,Erről,Um,Tentang,A proposito di,約,약,Par,Apie,O,Sobre,Sobre,О,O,Acerca de,เกี่ยวกับ,Hakkında,Про,Giới thiệu
,%current,(current),(actuel),(Huidige),(aktual),(الحالي),(Ընթացիկ),(Текущи),目前,（电流）,(aktuální),(actueel),(praegune),(Aktuell),(Τρέχουσα),(वर्तमान),(jelenlegi),(núverandi),(saat ini),(attuale),（現在）,(현재),(pašreizējais),(dabartinė),(bieżący),(atual),(atual),(текущая),(aktuálne),(actual),(ปัจจุบัน),(güncel),(поточна),(hiện tại)
,%hide,Hide,Masquer,Steek,Fsheh,إخفاء,Թաքցնել,Крия,隱藏,隐藏,Schovat,Verbergen,Peida,Verbergen,Κρύβω,छिपाना,Elrejtés,Fela,Sembunyikan,Nascondere,非表示,숨기기,Slēpt,Slėpti,Ukryj,Ocultar,Ocultar,Скрыть,Schovať,Ocultar,ปิดบัง,Sakla,Сховати,Che
,%error,Error,Erreur,Fout,Gabim,خطأ,Սխալ,Грешка,錯誤,错误,Chyba,Fout,Viga,Fehler,Σφάλμα,त्रुटि,Hiba,Villa,Error,Errore,エラー,오류,Kļūda,Klaida,Błąd,Erro,Erro,Ошибка,Chyba,Error,ความผิดพลาด,Hata,Помилка,Lôi
,%colon,:,:,:,:,:,:,:,：,：,:,:,:,:,:,:,:,:,:,:,：,:,:,:,:,:,:,:,:,:,:,:,:,:
,%hyphen, - , - , - , - , - , - , - ,-, - , - , - , - , - , - , - , - , - , - ,-, - , -, - , - , - , - , - , - , - ,-, - , - , - , - 
,%full-stop,.,.,.,.,.,.,.,。,。,.,.,.,.,.,.,.,.,.,,。,.,.,.,.,.,.,.,.,,.,.,.,.
