id,title,summary,categoryList,bboxKML,bboxWKT,metadataURL
"cd6ed785-763a-58a8-848c-3d78c0a9c3c8","Surficial geology of north-central Manitoba","Abstract not available. These are comprehensive final reports on the geology of specific geographic areas.","klassen-r-w, earth-sciences, permafrost, fossils, stratigraphy, zip, manitoba, canadian-shield, hudson-bay-lowlands, geological-survey-of-canada-memoir, documentdigital-documentnumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-90,52 -102,52 -102,60 -90,60 -90,52</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-90 52,-102 52,-102 60,-90 60,-90 52))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/cd6ed785-763a-58a8-848c-3d78c0a9c3c8.xml"
"32c8131f-585c-5c2a-9405-48d93dda16c0","A preliminary tsunami hazard assessment of the Canadian Coastline","The Canadian coastline is the longest of any country in the world, and is at risk from tsunamis generated in three oceans. The current state of knowledge precludes a complete probabilistic tsunami hazard assessment, which would require quantification of a wide range of possible scenarios for each tsunami source, coupled with modelling that incorporates fine-resolution bathymetry and onland topography to adequately assess potential runup at the coast. This preliminary assessment presents a first attempt to quantify the tsunami hazard on the Canadian Pacific, Atlantic and Arctic coastlines from local and far-field, earthquake and large landslide sources. For each source considered, we calculate the probability that tsunami runup at the coast will exceed 1.5 m (threshold for potential damage) and 3 m (significant damage potential), in a 50-year period. For each coastal region, we then combine the relative hazard from each source to calculate the overall probability that the coastline in question will experience tsunami runup exceeding 1.5 m (and 3 m) within a 50-year period, from any geological source. We also consider the maximum runup levels expected to occur within time periods of 100, 500, 1000, and 2500 years. Our assessment indicates that the overall tsunami hazard (runup ? 1.5 m) of the outer Pacific coastline (~40-80% probability of exceedance in 50 y) is an order of magnitude greater than that of the outer Atlantic coastline (~1-15%), which in turn is an order of magnitude greater than the Arctic coastline (< 1%). These probabilities are equivalent to an expected recurrence of runup exceeding 1.5 m of ~30-100 years for the outer Pacific coast, ~300-1700 for the Atlantic, and ~6500-17,000 years for the Arctic. For larger runup (? 3 m), the estimated Pacific hazard (~10-30% probability of exceedance in 50 y) is significantly larger than both the Atlantic (~1-5%) and the Arctic (< 1%). Equivalent recurrence intervals are ~150-500 years for the Pacific, ~650-4000 years for the Atlantic, and ~7000-20,000 years for the Arctic. On the outer Pacific coastline, the 1.5 m runup hazard is dominated by far-field subduction zone sources, whereas the more severe 3 m runup hazard is almost entirely contributed by local subduction zone sources. The Cascadia subduction zone presents the highest tsunami hazard to the Pacific coast, with the most extreme potential runup; potential thrust sources along the Explorer and Queen Charlotte margins contribute a significant proportion of the estimated tsunami hazard for the northern BC coastline. For the more sheltered inner Pacific coasts of Juan de Fuca and Georgia Straits, the hazard at both levels is contributed mostly by Cascadia subduction zone events. Tsunami hazard on the Atlantic coastline is dominated by far-field subduction zone sources, but this hazard is poorly constrained. Significant tsunami hazard is also provided by near-field continental slope failures similar to the 1929 Grand Banks event. Tsunami hazard on the Arctic coastline remains poorly constrained, but these regions are assumed to be sheltered from far-field tsunamis, so the hazard is provided by local sources. A hypothetical earthquake source beneath the Mackenzie delta requires further study. We discuss briefly but do not quantify the hazard of locally-damaging waves triggered by subaerial or submarine landslides, but we highlight susceptible areas. A probabilistic analysis of local landslide tsunamis would require (1) the identification of potential sources; (2) evidence for past tsunamigenic events to establish frequency-size relationships and/or slope stability analyses that incorporate expected earthquake shaking levels; (3) probabilistic tsunami modelling of a wide range of possible failures.","leonard-l-j, rogers-g-c, mazzotti-s, earth-sciences, health-hazards, landslides, pdf, western-offshore-region, eastern-offshore-region, northern-offshore-region, british-columbia, ontario, quebec, new-brunswick, nova-scotia, prince-edward-island, newfoundland-and-labrador, northwest-territories, yukon, nunavut, atlantic-ocean, pacific-ocean, arctic-ocean, vancouver-island, haida-gwaii, pacific-coast, atlantic-coast, geological-survey-of-canada-open-file, documentdigital-documentnumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-48,42 -144,42 -144,84 -48,84 -48,42</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-48 42,-144 42,-144 84,-48 84,-48 42))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/32c8131f-585c-5c2a-9405-48d93dda16c0.xml"
"ece83d21-83c8-5b28-a4b2-1303f0b74381","Preliminary characterisation of metamorphism on Cumberland Peninsula, Baffin Island, Nunavut","A metamorphic map of Cumberland Peninsula, Nunavut is presented based on field and petrographic observations of metapelite, metapsammite, and metabasite. Five metamorphic zones are recognized in metapelite: staurolite+muscovite (lower-amphibolite facies); andalusite+muscovite; sillimanite+muscovite (both middle-amphibolite facies); sillimanite±K-feldspar (upper-amphibolite facies); and cordierite+garnet±K-feldspar (granulite facies). These subfacies comprise approximately 1%, 5%, 15%, 70%, and 9% of Cumberland Peninsula's metamorphic rocks, respectively. Most amphibolite-facies assemblages developed during Paleoproterozoic regional metamorphism. Lower- and middle-amphibolite-facies rocks occur in a 120 km by 15 km, structurally controlled corridor. Sillimanite+muscovite zone rocks had sequential growth of staurolite, andalusite, then sillimanite. Both the sillimanite+muscovite prograde P-T path and the piezothermic array for the area transect the staurolite+andalusite stability field with a shallow P/T slope implying middle-amphibolite-facies metamorphism took place at low pressure (3.3- 4.1 kbar). Porphyroblasts in amphibolite-facies rocks are mostly intertectonic with respect to two phases of Paleoproterozoic deformation suggesting regional metamorphism was orogenic. Two styles of granulite-facies metamorphism occurred prior to regional metamorphism. The first comprises a southeastern domain of granulite-facies rocks variably overprinted by amphibolite-facies metamorphism. The second formed later in close proximity to widely dispersed charnockitic plutons, suggesting regional contact metamorphism.","hamilton-b-m, patison-d-r-m, sanborn-barrie-m, young-m-d, earth-sciences, pdf, nunavut, cumberland-peninsula, baffin-island, geological-survey-of-canada-current-research-online, documentdigital-documentnumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-66.5,64.75 -60.5,64.75 -60.5,67.5 -66.5,67.5 -66.5,64.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-66.5 64.75,-60.5 64.75,-60.5 67.5,-66.5 67.5,-66.5 64.75))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/ece83d21-83c8-5b28-a4b2-1303f0b74381.xml"
"c9724666-50b6-5981-a775-c92b144f803a","Structural model of the Greater Toronto and Oak Ridges Moraine areas, southern Ontario: Halton Till","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","russell-h-a-j, sharpe-d-r, logan-c, earth-sciences, topography, groundwater, stratigraphy, pdf, jpeg-2000, ontario, toronto, hamilton, brampton, bolton, markham, oshawa, port-hope, alliston, scugog, new-market, rice-lake, guelph, beaverton, orangeville, trenton, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-80,43.25 -78,43.25 -78,44.5 -80,44.5 -80,43.25</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-80 43.25,-78 43.25,-78 44.5,-80 44.5,-80 43.25))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/c9724666-50b6-5981-a775-c92b144f803a.xml"
"73d2fe97-e311-5ba8-90ec-ea61a4d9b8ca","U-Pb ages of Archean basement and Paleoproterozoic plutonic rocks, southern Cumberland Peninsula, eastern Baffin Island, Nunavut","Recent mapping coupled with geochronological and isotopic studies on the southern half of Cumberland Peninsula, Baffin Island, have identified and characterized four distinct plutonic suites. An extensive plutonic gneiss complex yields ages of 2991 ± 4 Ma, 2938 ± 4 Ma, and 2782 ± 4 Ma, whereas a second group of discrete plutons yields solely Neoarchean ages of 2772 ± 6 Ma, 2759 ± 3 Ma, and 2700 ± 4 Ma. These Archean rocks form the structural basement to a cover sequence, the Hoare Bay Group, both of which are cut by a charnockite-granodiorite-diorite suite with ages of 1894 ± 5 Ma and 1889 ± 3 Ma, informally designated the Qikiqtarjuaq plutonic suite. Mylonitic, high-K intrusive sheets, interpreted to have been emplaced syntectonically during regional deformation, yield ages of 1882 ± 13 Ma and 1873 ± 16 Ma.","rayner-n-m, sanborn-barrie-m, young-m-d, whalen-j-b, earth-sciences, pdf, nunavut, cumberland-peninsula, baffin-island, geological-survey-of-canada-current-research-online, documentdigital-documentnumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-66.5,64.75 -60.5,64.75 -60.5,67.5 -66.5,67.5 -66.5,64.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-66.5 64.75,-60.5 64.75,-60.5 67.5,-66.5 67.5,-66.5 64.75))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/73d2fe97-e311-5ba8-90ec-ea61a4d9b8ca.xml"
"d6ad7bc4-0ffe-520c-a04b-4d5ed2b3e187","Geophysical Series, detailed geophysical compilation project, Yukon Plateau, Yukon, NTS 115-I, J, K, N, O, P and 116A and B","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","hayward-n, miles-w, oneschuk-d, earth-sciences, geophysics, pdf, jpeg-2000, zip, yukon, yukon-plateau, stevenson-ridge, stewart-river, mcquesten, carmacks, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-141,60.75 -136.5,60.75 -136.5,64.25 -141,64.25 -141,60.75</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-141 60.75,-136.5 60.75,-136.5 64.25,-141 64.25,-141 60.75))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/d6ad7bc4-0ffe-520c-a04b-4d5ed2b3e187.xml"
"1d86ff27-fbc7-5fad-84ca-3708bf354205","Configuration of Mike21 for the simulation of nearshore storm waves, currents and sediment transport: Brackley Bight, Prince Edward Island","The North Shore of Prince Edward Island (PEI) is a sandy, multi-barred coast with limited fetch in most directions but open to the Gulf of St. Lawrence for several hundred kilometres to the north. In the fall and winter, storms tracking northwards across PEI and into the Gulf can bring sustained storm waves which generate currents capable of transporting sand in both the along- and across-shore directions. Mike21 is a commercially available combined wave, hydrodynamic and sand transport model that may be utilised to improve understanding of contemporary sand transport and possible implications of changing climate in the Brackley Bight area of the North Shore. This manuscript describes the development of a Mike21 model domain and optimal configurations of the Mike21 Spectral Wave, Hydrodynamic and Sand Transport modules appropriate to the study area. The sensitivities of several parameters in each module are tested. The Spectral Wave and Hydrodynamic modules are sensitive to estimates of bed roughness with optimal values considerably lower than published semi-empirical estimates. The Sand Transport module is sensitive to the input sediment transport tables and estimates of the maximum amount of vertical bed level change per day. Simulation of a 4-day moderate northeasterly storm is conducted and the results are compared to currents, waves, and tides measured by S4 current meters and the instrumented seabed lander RALPH during a sediment transport experiment in 1999. The model successfully simulates storm waves and currents and provides reasonable estimates of the amount and patterns of sediment transport.","manson-g-k, earth-sciences, modelling, pdf, prince-edward-island, brackley-bight, geological-survey-of-canada-open-file, documentdigital-documentnumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-63.5,47.3333 -62.6667,47.3333 -62.6667,47.5833 -63.5,47.5833 -63.5,47.3333</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-63.5 47.3333,-62.6667 47.3333,-62.6667 47.5833,-63.5 47.5833,-63.5 47.3333))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/1d86ff27-fbc7-5fad-84ca-3708bf354205.xml"
"fb402a8a-1afb-59b3-91be-2524581558d2","First vertical derivative of the magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-P/12 and part of 115-P/11, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, stewart-river, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-138,63.5 -137.4167,63.5 -137.4167,63.75 -138,63.75 -138,63.5</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-138 63.5,-137.4167 63.5,-137.4167 63.75,-138 63.75,-138 63.5))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/fb402a8a-1afb-59b3-91be-2524581558d2.xml"
"791c2972-870b-5589-913a-3d8ec641b93f","First vertical derivative of the magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-O/4 and part of 115-O/3, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, white-river, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-139.9,63 -139.25,63 -139.25,63.25 -139.9,63.25 -139.9,63</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-139.9 63,-139.25 63,-139.25 63.25,-139.9 63.25,-139.9 63))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/791c2972-870b-5589-913a-3d8ec641b93f.xml"
"49ab7617-e164-5daa-9241-311438ba72f7","Residual total magnetic field, aeromagnetic survey of the Scroggie Creek and Wolverine Creek areas, NTS 115-O/8 and part of 115-O/7, Yukon","Abstract not available. This series is produced to expedite the release of information by making unedited manuscript material available to the public in advance of formal publication, and to act as a repository for relevant supporting data that are referred to in published reports. Open Files can be maps; reports; voluminous data sets resulting from multiparameter geophysical and geochemical surveys; consultants' reports; preliminary, unvetted field and laboratory results. They are all critically reviewed by one specialist. The series is geared towards specialists (mining industry, land-use planning, geoscience students) rather than the general public.","kiss-f, earth-sciences, geophysics, pdf, jpeg-2000, yukon, stewart-river, rosebud-creek, geological-survey-of-canada-open-file, mapdigital-cartenumerique","<Polygon><outerBoundaryIs><LinearRing><coordinates>-138.75,63.25 -138,63.25 -138,63.5 -138.75,63.5 -138.75,63.25</coordinates></outerBoundaryIs></LinearRing></Polygon>","POLYGON((-138.75 63.25,-138 63.25,-138 63.5,-138.75 63.5,-138.75 63.25))","http://geogratis.gc.ca/api/beta/en/nrcan-rncan/ess-sst/49ab7617-e164-5daa-9241-311438ba72f7.xml"
